Minimo_Ejemplos;Accuracy;Type
0.1;0.8883579926464604;TRAIN
0.1;0.8882476417931574;TEST
0.2;0.8334615615723516;TRAIN
0.2;0.8332955768357484;TEST
0.3;0.7953969260535709;TRAIN
0.3;0.795365699092816;TEST
0.4;0.7818235744435744;TRAIN
0.4;0.7818082070605465;TEST
0.5;0.7591409352076341;TRAIN
0.5;0.75914093523326;TEST
0.6;0.7591409352076341;TRAIN
0.6;0.75914093523326;TEST
0.7;0.7591409352076341;TRAIN
0.7;0.75914093523326;TEST
0.8;0.7591409352076341;TRAIN
0.8;0.75914093523326;TEST
0.9;0.7591409352076341;TRAIN
0.9;0.75914093523326;TEST
1.0;0.7591409352076341;TRAIN
1.0;0.75914093523326;TEST
