Tipo;Capas;Neuronas;Accuracy
FNORM;1;7;0.7988348720744046
FNORM;2;7;0.9086975777603652
FNORM;3;7;0.9154634960651381
FNORM;4;7;0.9086021871699655
FNORM;1;11;0.8071542942799714
FNORM;2;11;0.8974346744796102
FNORM;3;11;0.918481926889926
FNORM;4;11;0.9181685006643273
FNORM;1;14;0.8946887881988212
FNORM;2;14;0.6114332436207542
FNORM;3;14;0.91998092188192
FNORM;4;14;0.9176097843491295
FNORM;1;21;0.8974006064116103
FNORM;2;21;0.9113889551323544
FNORM;3;21;0.9237147821347051
FNORM;4;21;0.9277348141586891
FNORM;1;22;0.8723810172725105
FNORM;2;22;0.9205396381971178
FNORM;3;22;0.9265901270738937
FNORM;4;22;0.9203488570163186
FNORM;1;28;0.8838755834156645
FNORM;2;28;0.9180867373011277
FNORM;3;28;0.9294177767178823
FNORM;4;28;0.9335672674002657
FNORM;1;33;0.7701904405001192
FNORM;2;33;0.9180117875515279
FNORM;3;33;0.901992981977992
FNORM;4;33;0.9291793002418833
FNORM;1;35;0.8712022621197152
FNORM;2;35;0.9162879433107348
FNORM;3;35;0.9263448369842946
FNORM;4;35;0.934732395325861
FNORM;1;42;0.7890777773992437
FNORM;2;42;0.918768098661125
FNORM;3;42;0.9283207849282867
FNORM;4;42;0.929002146288284
FNORM;1;44;0.9010390760739958
FNORM;2;44;0.9221953463019112
FNORM;3;44;0.9237011549075052
FNORM;4;44;0.9263107689162947
FNORM;1;49;0.8949408919020202
FNORM;2;49;0.9273123701154907
FNORM;3;49;0.9203284161755186
FNORM;4;49;0.9331584505842674
FNORM;1;55;0.8783565563996866
FNORM;2;55;0.9289612646066842
FNORM;3;55;0.915238646816339
FNORM;4;55;0.9319456273634722
FNORM;1;56;0.9043368650563827
FNORM;2;56;0.9233741014547066
FNORM;3;56;0.9292133683098831
FNORM;4;56;0.9325384117466698
FNORM;1;63;0.9127925595339488
FNORM;2;63;0.9246823152659013
FNORM;3;63;0.9265492453922938
FNORM;4;63;0.9294654720130822
FNORM;1;66;0.909487956937962
FNORM;2;66;0.9217252069635131
FNORM;3;66;0.9254249991482983
FNORM;4;66;0.9295267945354819
FNORM;1;70;0.8385514257486458
FNORM;2;70;0.9265356181650939
FNORM;3;70;0.9241099717235035
FNORM;4;70;0.9339692706026641
FNORM;1;77;0.9027969883827888
FNORM;2;77;0.9224406363915102
FNORM;3;77;0.923012979933908
FNORM;4;77;0.9326338023370695
FNORM;1;84;0.8963036146220148
FNORM;2;84;0.9263243961434947
FNORM;3;84;0.9264334139610942
FNORM;4;84;0.9274009470922904
