Penalty;Algoritmo de Resolución;C;Accuracy;Tipo
l1;SAGA;1e-05;0.7931904397699031;TRAIN
l1;SAGA;1e-05;0.7937042210336251;TEST
l1;SAGA;0.0001;0.7930763111588823;TRAIN
l1;SAGA;0.0001;0.7936974074200253;TEST
l1;SAGA;0.001;0.7930524633894154;TRAIN
l1;SAGA;0.001;0.7936769665792253;TEST
l1;SAGA;0.01;0.7930422429167866;TRAIN
l1;SAGA;0.01;0.7936769665792253;TEST
l1;SAGA;0.1;0.7930439463288914;TRAIN
l1;SAGA;0.1;0.7936769665792253;TEST
l1;SAGA;1;0.7930439463288914;TRAIN
l1;SAGA;1;0.7936769665792253;TEST
l2;NEWTON-CG;1e-05;0.8149958181232827;TRAIN
l2;NEWTON-CG;1e-05;0.8148604912615406;TEST
l2;NEWTON-CG;0.0001;0.8146857971202115;TRAIN
l2;NEWTON-CG;0.0001;0.8137907539263448;TEST
l2;NEWTON-CG;0.001;0.8101615345698969;TRAIN
l2;NEWTON-CG;0.001;0.8093959731543624;TEST
l2;NEWTON-CG;0.01;0.8081463980499338;TRAIN
l2;NEWTON-CG;0.01;0.8072837529383708;TEST
l2;NEWTON-CG;0.1;0.8109195529565272;TRAIN
l2;NEWTON-CG;0.1;0.8101386570367595;TEST
l2;NEWTON-CG;1;0.8137812852925695;TRAIN
l2;NEWTON-CG;1;0.8123939631383504;TEST
l2;LBFGS;1e-05;0.7914529594230203;TRAIN
l2;LBFGS;1e-05;0.792000817633632;TEST
l2;LBFGS;0.0001;0.7911378281836347;TRAIN
l2;LBFGS;0.0001;0.7915715599768337;TEST
l2;LBFGS;0.001;0.7919656864665612;TRAIN
l2;LBFGS;0.001;0.79251183865363;TEST
l2;LBFGS;0.01;0.7914955447256399;TRAIN
l2;LBFGS;0.01;0.7920280720880319;TEST
l2;LBFGS;0.1;0.7903133767249176;TRAIN
l2;LBFGS;0.1;0.7910196572752359;TEST
l2;LBFGS;1;0.7921649856828212;TRAIN
l2;LBFGS;1;0.7925663475624297;TEST
l2;LIBLINEAR;1e-05;0.7987265291104612;TRAIN
l2;LIBLINEAR;1e-05;0.7982761557592069;TEST
l2;LIBLINEAR;0.0001;0.8030140173782103;TRAIN
l2;LIBLINEAR;0.0001;0.8023234422375907;TEST
l2;LIBLINEAR;0.001;0.8035931774938379;TRAIN
l2;LIBLINEAR;0.001;0.8027595135079889;TEST
l2;LIBLINEAR;0.01;0.7991966708513824;TRAIN
l2;LIBLINEAR;0.01;0.7992096208224032;TEST
l2;LIBLINEAR;0.1;0.803080450450297;TRAIN
l2;LIBLINEAR;0.1;0.8021531018975914;TEST
l2;LIBLINEAR;1;0.8015473795559886;TRAIN
l2;LIBLINEAR;1;0.8010833645623957;TEST
l2;SAG;1e-05;0.7933641878045914;TRAIN
l2;SAG;1e-05;0.7939222566688243;TEST
l2;SAG;0.0001;0.7933624843924866;TRAIN
l2;SAG;0.0001;0.7939290702824243;TEST
l2;SAG;0.001;0.7933658912166962;TRAIN
l2;SAG;0.001;0.7939426975096242;TEST
l2;SAG;0.01;0.7933641878045914;TRAIN
l2;SAG;0.01;0.7939426975096242;TEST
l2;SAG;0.1;0.7933641878045914;TRAIN
l2;SAG;0.1;0.7939495111232242;TEST
l2;SAG;1;0.7933641878045914;TRAIN
l2;SAG;1;0.7939495111232242;TEST
l2;SAGA;1e-05;0.7930677940983584;TRAIN
l2;SAGA;1e-05;0.7937178482608251;TEST
l2;SAGA;0.0001;0.7930473531531009;TRAIN
l2;SAGA;0.0001;0.7936837801928253;TEST
l2;SAGA;0.001;0.7930439463288914;TRAIN
l2;SAGA;0.001;0.7936837801928253;TEST
l2;SAGA;0.01;0.7930439463288914;TRAIN
l2;SAGA;0.01;0.7936769665792253;TEST
l2;SAGA;0.1;0.7930439463288914;TRAIN
l2;SAGA;0.1;0.7936769665792253;TEST
l2;SAGA;1;0.7930439463288914;TRAIN
l2;SAGA;1;0.7936769665792253;TEST
