Day;Configuracion;NOperations;SOperations;TotalOperations;ConfigNorm
2018-01-01 02:30:00;NORTE;1;0;1;1
2018-01-01 03:00:00;NORTE;1;0;1;1
2018-01-01 03:30:00;NORTE;2;0;2;1
2018-01-01 04:00:00;NORTE;2;0;2;1
2018-01-01 04:30:00;NORTE;3;0;3;1
2018-01-01 05:00:00;NORTE;5;0;5;1
2018-01-01 05:30:00;NORTE;3;0;3;1
2018-01-01 06:00:00;NORTE;13;0;13;1
2018-01-01 06:30:00;NORTE;18;0;18;1
2018-01-01 07:00:00;NORTE;15;0;15;1
2018-01-01 07:30:00;NORTE;14;0;14;1
2018-01-01 08:00:00;NORTE;19;0;19;1
2018-01-01 08:30:00;NORTE;19;0;19;1
2018-01-01 09:00:00;NORTE;26;0;26;1
2018-01-01 09:30:00;NORTE;21;0;21;1
2018-01-01 10:00:00;NORTE;11;0;11;1
2018-01-01 10:30:00;NORTE;27;0;27;1
2018-01-01 11:00:00;NORTE;23;0;23;1
2018-01-01 11:30:00;SUR;0;26;26;1
2018-01-01 12:00:00;SUR;0;20;20;1
2018-01-01 12:30:00;SUR;0;17;17;1
2018-01-01 13:00:00;SUR;0;18;18;1
2018-01-01 13:30:00;SUR;0;22;22;1
2018-01-01 14:00:00;SUR;0;24;24;1
2018-01-01 14:30:00;SUR;0;25;25;1
2018-01-01 15:00:00;SUR;0;37;37;1
2018-01-01 15:30:00;SUR;0;15;15;1
2018-01-01 16:00:00;SUR;0;15;15;1
2018-01-01 16:30:00;SUR;0;18;18;1
2018-01-01 17:00:00;SUR;0;24;24;1
2018-01-01 17:30:00;SUR;0;30;30;1
2018-01-01 18:00:00;SUR;0;23;23;1
2018-01-01 18:30:00;SUR;0;29;29;1
2018-01-01 19:00:00;SUR;0;27;27;1
2018-01-01 19:30:00;SUR;0;19;19;1
2018-01-01 20:00:00;SUR;0;22;22;1
2018-01-01 20:30:00;SUR;0;23;23;1
2018-01-01 21:00:00;SUR;0;23;23;1
2018-01-01 21:30:00;SUR;0;18;18;1
2018-01-01 22:00:00;SUR;0;10;10;1
2018-01-01 22:30:00;SUR;0;9;9;1
2018-01-01 23:00:00;SUR;0;9;9;1
2018-01-01 23:30:00;SUR;0;4;4;1
2018-01-02 00:00:00;SUR;0;1;1;1
2018-01-02 00:30:00;SUR;0;2;2;1
2018-01-02 01:00:00;SUR;0;1;1;1
2018-01-02 01:30:00;SUR;0;1;1;1
2018-01-02 03:30:00;SUR;0;3;3;1
2018-01-02 04:00:00;SUR;0;4;4;1
2018-01-02 04:30:00;SUR;0;2;2;1
2018-01-02 05:00:00;CONFLICTIVA;7;1;8;2
2018-01-02 05:30:00;NORTE;12;0;12;1
2018-01-02 06:00:00;NORTE;12;0;12;1
